holeDiameter,rectHeight,rectWidth,itemType,elementType,itemMaterial,cappedUncapped,itemDiameter,itemInsulation,insulationDiameter,supportType,supportThickness,supportDensityId,supportMaterial,fireSide,density.$id,density.id,density.thicknessId,density.thickness,density.minDensity,density.maxDensity,density.distances,fireRate,Y,Y_type
0.1,0.25,0.25,0,1,1,-1,0.09,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,114,6
0.1,0.25,0.25,3,1,-1,-1,0.025355339059327374,1,0.005,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.4,0.4,0,1,1,-1,0.1,,,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,1,-1,-1,0.1,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,3,1
0.35,0.25,0.25,0,1,1,-1,0.125,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.11,0.25,0.25,0,1,-1,-1,0.11,,,RIGID_WALL,0.14,10,1,1,13,4092,4090,,500,-1,,4,3,1
0.101,0.25,0.25,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,120,7
0.112,0.25,0.25,0,1,-1,-1,0.11,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,1,1,-1,0.098,,,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,1,1,-1,0.1,,,CEILING,0.08,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,2,12,-1,0.05,1022,0.02,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,112,6
0.1,0.25,0.25,0,3,-1,-1,0.05,1022,0.02,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.25,0.25,2,3,-1,-1,0.15,1022,0.02,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,151,10
0.25,0.25,0.25,0,2,12,-1,0.05,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,212,18
0.4,0.25,0.25,0,2,12,C/C,0.05,1022,0.02,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,150,34
0.4,0.35,0.3,1,4,12,C/C,0.021,1022,0.02,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,1759,32
0.4,0.1,0.2,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,1,3,1
0.25,0.1,0.2,0,1,1,-1,0.1,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.101,0.1,0.2,0,1,1,-1,0.1,,,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.1,0.2,3,1,-1,-1,0.018284271247461896,1,0.005,FLEXIBLE_WALL,0.1,30,0,0,13,4092,4090,,500,-1,,1,150,9
0.2,0.2,0.2,3,1,-1,-1,0.018284271247461896,1,0.005,FLEXIBLE_WALL,0.1,30,0,0,13,4092,4090,,500,-1,,4,150,34
